topic1;question;category;
trastornos hepáticos y biliares;cómo diagnostica hepatitis viral crónica;23;
trastornos hormonales y metabólicos;cómo presentan síntomas hiperpotasemia;24;
trastornos odontológicos;cómo realiza posicionamiento bloqueo nervio infraorbitario intraoral trastornos odontológicos;28;
trastornos otorrinolaringológicos;cómo trata vértigo posicional paroxístico benigno;30;
trastornos oftálmicos;cómo manejan trastornos oftálmicos hogar personas ojos saltones;29;
trastornos del pulmón y las vías respiratorias;cómo presenta enfermedad pulmonar causada medicamentos;20;
trastornos dermatológicos;cómo presenta introducción fibroxantoma atípico cuestión trastornos dermatológicos;21;
trastornos de la salud mental;cómo miden tasas suicidio mundo entero;14;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica linfedema secundario;18;
trastornos de la salud mental;cómo presenta lesión autolítica suicida contexto trastornos mentales;14;
geriatría;puedes darme información religión espiritualidad geriatría;4;
trastornos hepáticos y biliares;cómo realiza diagnóstico trastornos hepáticos biliares mediante pruebas imagen hígado vesícula biliar papel desempeña ecografía proceso;23;
trastornos pulmonares;cuáles conceptos clave neumotórax pulmonar;32;
cuidados críticos;cómo administran medicamentos ayudan intubación opciones sedación analgesia después intubación cuidados críticos;0;
ginecología y obstetricia;cómo realiza cribado prevención cáncer mama ginecología obstetricia conceptos clave deben tener cuenta;5;
salud femenina;cómo presentan síntomas vaginosis bacteriana;10;
infecciones;cómo diagnostica mucormicosis;7;
trastornos renales y del tracto urinario;dame información pseudohipoaldosteronismo tipo;33;
cuidados críticos;cómo hago canulación intraosa manualmente taladro eléctrico cuidados críticos qué anatomía relevante canulación intraosa;0;
trastornos del pulmón y las vías respiratorias;cómo trata hemosiderosis pulmonar idiopática;20;
trastornos de los huesos; articulaciones y músculos;cómo trata arteritis takayasu;16
trastornos oftálmicos;cómo trata neuropatías ópticas tóxicas nutricionales;29;
trastornos renales y del tracto urinario;cómo evaluar sangre semen;33;
trastornos renales y del tracto urinario;dame información síndrome nefrótico;33;
ginecología y obstetricia;podrías darme información general anticoncepción;5;
trastornos oftálmicos;cómo realiza cirugía errores refracción oftálmicos técnicas quirúrgicas refractivas existen;29;
enfermedades cerebrales; medulares y nerviosas;cómo trata amnesia;1
trastornos de la sangre;cómo forma sangre enfermedades pueden afectarlas;15;
trastornos oftálmicos;cuáles conceptos clave enrojecimiento ocular;29;
fundamentos;puedes darme información rehabilitación enfermedades cardíacas;2;
hematología y oncología;cómo diagnostica deficiencia antitrombina;6;
trastornos oftálmicos;cómo causa celulitis preseptal orbitaria trastornos oftálmicos;29;
salud femenina;cómo presenta dolor mama contexto salud femenina;10;
trastornos otorrinolaringológicos;cómo evaluar mareo vértigo;30;
trastornos pulmonares;dame información asma;32;
trastornos renales y del tracto urinario;cómo presenta lesión renal aguda;33;
trastornos otorrinolaringológicos;dame información introducción trastornos otorrinolaringológicos absceso retrofaríngeo;30;
cuidados críticos;cómo inserta combitube tubo laríngeo king cuidados críticos anatomía relevante inserción;0;
trastornos odontológicos;cómo indican reemplaza ferrulea diente avulsionado;28;
trastornos pulmonares;cómo produce disnea;32;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica dolor torácico;18;
trastornos de la piel;cómo diagnostica linfangitis;13;
trastornos endocrinológicos y metabólicos;podrías darme informaciones generales función tiroidea;22;
trastornos pulmonares;cómo presenta lesión inhalación gas irritante contexto trastornos pulmonares;32;
cuidados críticos;cómo identifican signos síntomas insuficiencia ventilatoria cuidados críticos;0;
infecciones;puedes darme información infecciones transmisión sexual;7;
trastornos de la piel;cómo trata hidradenitis supurativa moderada;13;
inmunología y trastornos alérgicos;cómo diagnostica angioedema hereditario;8;
hematología y oncología;cómo trata púrpura trombocitopénica trombótica;6;
trastornos urogenitales;cómo diagnostican nefropatías metabólicas relacionadas trastornos urogenitales hipopotasemia crónica;34;
trastornos urogenitales;cómo realiza diagnóstico urogenital mediante imágenes;34;
trastornos otorrinolaringológicos;cómo presenta introducción pericondritis oído;30;
cuidados críticos;cómo insertan vías aéreas orofaríngeas cuidados críticos cuáles indicaciones;0;
fundamentos;cómo abordan fundamentos terapia génica transfección vírica;2;
trastornos neurológicos;cómo hacer punción lumbar trastornos neurológicos;26;
salud femenina;cómo mide mortalidad perinatal materna cuidado salud femenina;10;
trastornos bucales y dentales;cómo diagnostica síndrome boca ardiente;11;
trastornos psiquiátricos;dame información introducción subtipo disociativo trastorno estrés postraumático;31;
trastornos dermatológicos;cómo diagnostica paroniquia aguda;21;
salud femenina;cómo presenta vaginosis bacteriana cómo diagnostica;10;
trastornos neurológicos;cómo trata compresión médula espinal;26;
trastornos oftálmicos;cómo deben irrigar ojos evertir párpado casos trastornos oftálmicos;29;
ginecología y obstetricia;cómo diagnostica vaginitis candidiásica;5;
infecciones;cómo presentan infecciones;7;
trastornos cardiovasculares;cómo reconocen síntomas taquicardia ventricular polimorfa entorchado torsades pointes;12;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica vegetativo;1
trastornos cardiovasculares;cuáles conceptos clave estenosis aórtica;12;
infecciones;cómo trata loiasis;7;
ginecología y obstetricia;cómo presenta introducción polihidramnios ginecología obstetricia;5;
ginecología y obstetricia;dame informaciones introducción fallo ovárico primario ginecología obstetricia;5;
infecciones;cómo presentan infecciones bejel pian pinta;7;
trastornos dermatológicos;qué conceptos clave hiperhidrosis dermatológica;21;
enfermedades cerebrales; medulares y nerviosas;cómo introduce disfunción cerebral cuáles causas disfunción cerebral;1
trastornos de la salud mental;cómo diagnostica trastorno síntomas neurológicos funcionales;14;
trastornos psiquiátricos;qué entiende trastornos personalidad tipos existen;31;
trastornos de la salud mental;cómo obtengo información trastornos personalidad;14;
geriatría;cómo prevenen problemas relacionados fármacos geriatría;4;
trastornos hepáticos y biliares;cómo evalúa lesión hepática cuáles pruebas laboratorio hígado vesícula biliar;23;
trastornos psiquiátricos;cómo presentan trastornos bipolares;31;
cuidados críticos;cómo realiza canulación subclavia infraclavicular bajo guía ecográfica cuidados críticos complicaciones pueden surgir;0;
trastornos cardiovasculares;cómo tratan trastornos cardiovasculares relacionados trombosis venosa profunda medicamentos utilizan ello;12;
trastornos de los tejidos musculoesquelético y conectivo;cómo trata artritis reumatoide medicamentos;17;
hematología y oncología;cómo realiza screening telangiectasias hemorrágicas hereditarias;6;
trastornos dermatológicos;cómo produce patología infección necrosante tejido blando;21;
fármacos o sustancias;cómo clasifican reacciones adversas moderadas medicamentos sustancias;3;
trastornos de la piel;cómo trata prurito casos trastornos piel hogar;13;
salud femenina;cómo trata aborto séptico;10;
trastornos hepáticos y biliares;qué conceptos clave cirrosis trastornos hepáticos biliares;23;
ginecología y obstetricia;cómo obtengo información adicional menopausia;5;
trastornos otorrinolaringológicos;cuáles conceptos clave relacionados acúfenos trastornos otorrinolaringológicos;30;
trastornos urogenitales;dame informaciones introducción cistitis intersticial;34;
trastornos de los huesos; articulaciones y músculos;cómo diagnostican miositis autoinmunes;16
trastornos de la salud mental;cómo identifican síntomas trastorno personalidad paranoide;14;
trastornos hormonales y metabólicos;cómo presenta intoxicación bocio tóxico simple contexto trastornos hormonales metabólicos;24;
trastornos neurológicos;cómo diagnositan trastornos sueño relacionados ritmo circadiano tipo fases alteradas;26;
infecciones;cómo producen infecciones estafilocóicas;7;
fundamentos;qué fundamentos preocupaciones legales éticas final vida relación suicidio;2;
trastornos pulmonares;dame información introducción neumonía asociada respirador;32;
trastornos de los huesos; articulaciones y músculos;cómo identifican síntomas artritis reactiva;16
trastornos otorrinolaringológicos;cómo presentan síntomas laberintitis purulenta;30;
traumatismos y envenenamientos;cómo identifican fracturas fatiga pie;35;
trastornos hepáticos y biliares;cuáles conceptos clave insuficiencia hepática aguda;23;
trastornos pulmonares;podrías darme información general neumonías intersticiales idiopáticas;32;
salud femenina;cómo previene infección vaginal levaduras;10;
trastornos cardiovasculares;cómo causa fibrilación auricular;12;
salud femenina;cómo sienten síntomas pólipos cervicales salud femenina;10;
hematología y oncología;cómo trata sobrecarga secundaria hierro hematología oncología;6;
trastornos cardiovasculares;cómo presenta introducción miocarditis;12;
infecciones;cómo trata estrongiloidiasis;7;
trastornos endocrinológicos y metabólicos;qué conceptos clave tumor feocromocitoma trastornos endocrinológicos metabólicos;22;
trastornos oftálmicos;cómo detectan trastornos oculares pruebas específicas paquimetría;29;
enfermedades cerebrales; medulares y nerviosas;dame información introducción cefaleas racimos enfermedades cerebrales medulares nerviosas;1
salud de las personas de edad avanzada;cómo obtengo información caídas personas mayores cataratas contexto salud personas edad avanzada;9;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostica subluxación atlantoaxial;17;
ginecología y obstetricia;cuáles conceptos clave masa pélvica femenina ginecología obstetricia;5;
trastornos renales y del tracto urinario;dame información quistes renales adquiridos;33;
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas meningitis bacteriana aguda;1
cuidados críticos;cómo inserta combitube tubo laríngeo king cuidados críticos pasos seguir después;0;
trastornos pulmonares;cómo diagnostican poblaciones especiales contexto asma trastornos pulmonares;32;
hematología y oncología;qué conceptos clave leucemia mieloide aguda lma hematología oncología;6;
